#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_100679_length_345_cov_1.189655,168,345,cheB,37-214/1104,===...../......,4/12,15.58,78.804,vfdb,YP_109897
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_107537_length_327_cov_1.132353,2,106,manC,1312-1416/1428,.............==,0/0,7.35,81.905,vfdb,YP_109405
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_107694_length_326_cov_1.870849,1,324,bcrD,463-786/2100,...===.........,0/0,15.43,75.926,vfdb,NP_880904
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_108690_length_324_cov_1.338290,17,92,fliM,1-76/999,==.............,0/0,7.61,89.474,vfdb,YP_106652
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_108690_length_324_cov_1.338290,162,322,fliL,379-539/543,......../.=====,2/4,29.28,78.528,vfdb,YP_106651
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_110390_length_320_cov_1.486792,16,320,hsiC1/vipB,1193-1497/1497,...........====,0/0,20.37,82.623,vfdb,NP_248774
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_110464_length_320_cov_1.320755,1,108,tcfA,1-108/1944,=......./......,2/2,5.50,95.413,vfdb,NP_879974
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_110928_length_319_cov_1.219697,1,168,pilT,1-168/1035,===...../......,2/4,16.04,76.471,vfdb,NP_249086
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_110986_length_319_cov_1.068182,1,232,tcfA,435-666/1944,...===.........,0/0,11.93,89.655,vfdb,NP_879974
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_111811_length_317_cov_1.137405,1,317,bplL,1326-1642/1875,..........====.,0/0,16.91,98.423,vfdb,NP_878986
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_111824_length_317_cov_1.087786,79,300,fliP,128-349/762,..=====........,0/0,29.13,79.279,vfdb,YP_106655
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_111925_length_316_cov_2.574713,197,316,fliE,210-329/330,.........======,0/0,36.36,79.167,vfdb,NP_208348
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_112007_length_316_cov_1.701149,1,127,bplE,1134-1260/1260,.............==,0/0,10.08,100.000,vfdb,NP_878991
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_112007_length_316_cov_1.701149,145,316,bplF,1-172/1233,===............,0/0,13.95,100.000,vfdb,NP_878990
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_112085_length_316_cov_1.463602,61,215,pilJ,1036-1190/2049,.......=/=.....,2/2,7.52,77.564,vfdb,NP_249102
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_113017_length_314_cov_1.293436,8,314,fhaB,1582-1888/10773,..=............,0/0,2.85,88.274,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_113900_length_312_cov_1.268482,150,312,btrU/bspR,1-156/699,====..../......,1/7,22.32,95.092,vfdb,NP_880877
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_114037_length_312_cov_0.957198,3,273,cheW,47-317/528,.=========.....,0/0,51.33,87.823,vfdb,YP_109901
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_114171_length_311_cov_1.796875,39,288,algW,531-780/1170,......=====....,0/0,21.37,78.800,vfdb,NP_253136
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_115006_length_309_cov_2.173228,1,309,EF3023,1527-1835/4119,.....==........,0/0,7.50,100.000,vfdb,NP_816637
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_115099_length_309_cov_1.625984,36,277,fliP,514-755/762,..........=====,0/0,31.76,80.579,vfdb,YP_106655
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_11602_length_1715_cov_1.951205,1108,1247,cheV3,602-741/1302,......===......,0/0,10.75,75.714,vfdb,NP_207394
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_116281_length_307_cov_0.912698,1,307,cyaA,2558-2864/5121,.......==......,0/0,5.99,98.371,vfdb,NP_879578
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_11645_length_1710_cov_2.175831,1,264,fsrB,466-729/729,.........======,0/0,36.21,99.621,vfdb,NP_815518
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_11645_length_1710_cov_2.175831,261,1604,fsrC,1-1344/1344,===============,0/0,100.00,99.182,vfdb,NP_815517
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_117561_length_304_cov_1.000000,1,304,bplE,572-875/1260,......=====....,0/0,24.13,99.342,vfdb,NP_878991
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_118607_length_301_cov_1.861789,67,268,tlpA,1634-1835/2028,............==.,0/0,9.96,78.713,vfdb,NP_206899
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_119031_length_301_cov_0.589431,3,299,tcfA,1018-1314/1944,.......====....,0/0,15.28,78.451,vfdb,NP_879974
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_121056_length_296_cov_1.734440,7,273,mucD,511-783/1425,.....===/......,2/8,18.67,78.467,vfdb,NP_249457
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_121150_length_296_cov_1.443983,3,296,fliG,676-969/996,......../.=====,6/6,29.22,76.431,vfdb,YP_106857
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_121242_length_296_cov_1.244813,1,99,bcr4,1-99/522,===............,0/0,18.97,97.980,vfdb,NP_880893
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_121242_length_296_cov_1.244813,104,296,bcrH2,270-462/462,........=======,0/0,41.77,97.409,vfdb,NP_880894
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_121620_length_295_cov_1.408333,1,295,fss2,1144-1438/4956,...==..........,0/0,5.95,98.305,vfdb,NP_816151
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_122376_length_293_cov_2.642857,40,224,htpB,730-914/1653,......===......,0/0,11.19,75.676,vfdb,YP_094724
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_123234_length_292_cov_1.025316,1,292,dnt,761-1052/4395,..==...........,0/0,6.64,100.000,vfdb,NP_881965
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_12348_length_1636_cov_2.153700,316,878,clpP,1-563/597,===============,0/0,94.30,79.218,vfdb,NP_465991
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_12474_length_1623_cov_2.325255,1,502,fss2,1-502/4956,==.............,0/0,10.13,99.801,vfdb,NP_816151
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_124761_length_288_cov_2.253219,1,288,fhaB,5404-5703/10773,.......=/......,2/12,2.67,88.000,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_12504_length_1621_cov_1.787995,3,364,fsrA,1-362/732,========.......,0/0,49.45,98.895,vfdb,NP_815519
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_125702_length_287_cov_0.879310,3,271,bplF,550-818/1233,......====.....,0/0,21.82,78.810,vfdb,NP_878990
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_126057_length_286_cov_1.173160,1,286,fimA,147-423/444,....====/======,1/9,62.39,92.657,vfdb,
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_126557_length_285_cov_1.160870,44,285,bcrD,1859-2100/2100,.............==,0/0,11.52,98.347,vfdb,NP_880904
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_126982_length_284_cov_1.331878,50,284,katA,56-290/1515,===............,0/0,15.51,75.319,vfdb,NP_273273
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_128057_length_282_cov_1.189427,1,282,fhaB,464-745/10773,==.............,0/0,2.62,98.227,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_12818_length_1593_cov_2.016905,1,853,fss1,5112-5964/5964,............===,0/0,14.30,98.945,vfdb,NP_813892
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_128230_length_282_cov_0.696035,1,282,bplH,145-426/1173,.=====.........,0/0,24.04,98.936,vfdb,NP_878988
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_128493_length_281_cov_1.349558,113,280,tsr,990-1157/2022,......==/=.....,2/2,8.26,76.331,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_128708_length_281_cov_0.964602,17,241,fliP,533-757/762,..........=====,0/0,29.53,75.111,vfdb,YP_106655
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_12_length_93798_cov_5.206874,64356,64561,fleQ,587-791/1473,.....===/......,4/7,13.71,75.120,vfdb,NP_249788
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_130030_length_278_cov_1.399103,1,278,ptlC,93-370/2475,===............,0/0,11.23,100.000,vfdb,NP_882289
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_131494_length_275_cov_1.772727,1,273,fhaB,7395-7667/10773,..........=....,0/0,2.53,91.941,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_131959_length_274_cov_2.470320,138,244,pilJ,1534-1640/2049,...........==..,0/0,5.22,80.374,vfdb,NP_249102
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_132017_length_274_cov_1.885845,7,144,clpC,1843-1980/2463,...........==..,0/0,5.60,76.812,vfdb,NP_463763
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_132024_length_274_cov_1.826484,1,274,fsrB,199-472/729,....======.....,0/0,37.59,99.270,vfdb,NP_815518
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_133090_length_272_cov_2.732719,1,272,ebpA,148-419/3312,==.............,0/0,8.21,100.000,vfdb,NP_814821
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_133148_length_272_cov_1.903226,1,129,tsr,1076-1204/2022,.......==......,0/0,6.38,77.519,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_134751_length_269_cov_2.336449,1,269,fhaB,7962-8230/10773,...........=...,0/0,2.50,92.937,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_135618_length_268_cov_1.248826,3,268,flhA,66-331/2103,===...../......,2/2,12.60,79.401,vfdb,YP_109890
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_135962_length_267_cov_1.660377,1,267,bcrH1,20-286/486,=========......,0/0,54.94,97.753,vfdb,NP_880897
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_136670_length_266_cov_1.222749,106,264,flgJ,519-677/936,.......=/===...,7/12,16.35,76.364,vfdb,YP_106905
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_136764_length_266_cov_1.080569,1,266,bopD,268-533/942,....=====......,0/0,28.24,97.368,vfdb,NP_880896
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_137100_length_265_cov_1.509524,140,265,xcpR,757-882/1509,.......==......,0/0,8.35,76.984,vfdb,NP_251793
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_137661_length_264_cov_1.569378,54,260,fim3,147-350/615,...=====/......,2/5,33.01,76.923,vfdb,NP_880302
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_138476_length_263_cov_1.043269,70,263,ptlB,1-194/315,==========.....,0/0,61.59,99.485,vfdb,NP_882288
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_138569_length_263_cov_0.879808,67,263,fliG,800-996/996,............===,0/0,19.78,89.340,vfdb,YP_106857
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_138931_length_262_cov_1.183575,1,262,bplC,534-795/1101,.......====....,0/0,23.80,99.618,vfdb,NP_878993
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_13908_length_1502_cov_2.382170,907,1361,clpC,1513-1967/2463,......../====..,2/2,18.43,75.219,vfdb,NP_463763
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_139492_length_261_cov_1.184466,12,260,cdpA,940-1188/1743,........===....,0/0,14.29,85.141,vfdb,YP_107884
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_140070_length_260_cov_1.117073,1,260,fimD,111-370/1098,.=====.........,0/0,23.68,96.923,vfdb,NP_880574
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_140543_length_259_cov_1.240196,20,219,cheW,166-365/528,....=======....,0/0,37.88,82.000,vfdb,YP_109901
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_140921_length_258_cov_1.793103,1,258,cyaB,981-1238/2139,......===......,0/0,12.06,95.349,vfdb,NP_879579
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_141756_length_257_cov_1.138614,88,257,acpXL,1-170/237,===========....,0/0,71.73,81.765,vfdb,NP_540392
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_141835_length_257_cov_1.059406,1,257,cyaD,582-838/1323,......====.....,0/0,19.43,98.444,vfdb,NP_879580
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_142404_length_256_cov_0.950249,1,256,fhaC,775-1030/1755,......===......,0/0,14.59,98.438,vfdb,NP_880575
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_143079_length_255_cov_0.685000,1,254,bscK,1-254/663,======.........,0/0,38.31,97.638,vfdb,NP_880890
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_143801_length_253_cov_1.545455,1,253,fhaB,6102-6354/10773,........=......,0/0,2.35,96.838,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_144181_length_253_cov_0.833333,1,253,bplH,859-1111/1173,..........=====,0/0,21.57,99.209,vfdb,NP_878988
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_144188_length_253_cov_0.767677,1,253,flhA,1162-1414/2103,........===....,0/0,12.03,88.538,vfdb,YP_109890
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_144604_length_252_cov_1.111675,1,252,bcrD,1610-1861/2100,...........===.,0/0,12.00,99.206,vfdb,NP_880904
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_145862_length_250_cov_0.938462,44,250,pchF,2580-2783/5430,......==/......,2/5,3.74,75.000,vfdb,NP_252915
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_145923_length_250_cov_0.733333,73,250,motB,690-867/1023,......../.===..,3/4,17.20,75.556,vfdb,YP_109904
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_14686_length_1443_cov_2.466138,1022,1180,bplC,172-330/1101,..===.../......,2/2,14.35,75.625,vfdb,NP_878993
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_14687_length_1443_cov_2.329971,805,948,tlpC,1660-1803/2022,............==.,0/0,7.12,78.472,vfdb,NP_206882
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_146983_length_248_cov_0.953368,10,247,hsiC1/vipB,308-545/1497,...===.........,0/0,15.90,86.134,vfdb,NP_248774
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_147110_length_247_cov_2.135417,5,223,pscN,409-627/1323,....===./......,2/2,16.48,77.273,vfdb,NP_250388
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_147198_length_247_cov_1.677083,1,247,sprE,197-443/855,...=====.......,0/0,28.89,99.190,vfdb,NP_815515
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_147588_length_247_cov_0.875000,19,138,tsr,855-974/2022,......==.......,0/0,5.93,82.500,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_148169_length_246_cov_0.890052,1,141,brkB,227-367/891,...====........,0/0,15.82,100.000,vfdb,NP_882012
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_14886_length_1428_cov_2.792425,787,956,tsr,1075-1244/2022,.......===.....,0/0,8.41,77.059,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_148921_length_244_cov_1.597884,1,244,fhaB,4510-4753/10773,......=........,0/0,2.26,95.082,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_150227_length_242_cov_1.390374,1,159,flgK,784-942/2004,.....===.......,0/0,7.93,77.358,vfdb,YP_106907
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_150272_length_242_cov_1.310160,2,242,cheZ,253-493/729,.....======....,0/0,33.06,80.083,vfdb,YP_109895
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_150505_length_242_cov_0.957219,1,181,pvdJ,2515-2692/6474,.....=../......,1/3,2.75,75.138,vfdb,NP_251090
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_150641_length_241_cov_1.978495,1,240,bapC,2743-2982/2982,.............==,0/0,8.05,93.750,vfdb,
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_150737_length_241_cov_1.602151,1,241,flhA,153-393/2103,.==............,0/0,11.46,91.286,vfdb,YP_109890
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_152226_length_239_cov_1.065217,1,161,ptlH,860-1020/1020,............===,0/0,15.78,100.000,vfdb,NP_882295
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_15275_length_1402_cov_2.354863,1,1402,fss1,1733-3134/5964,....====.......,0/0,23.51,99.144,vfdb,NP_813892
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_154370_length_235_cov_1.533333,6,185,hsiC1/vipB,199-378/1497,.===...........,0/0,12.02,81.111,vfdb,NP_248774
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_154417_length_235_cov_1.444444,1,235,bscC,450-684/1803,...===.........,0/0,13.03,99.149,vfdb,NP_880879
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_154787_length_235_cov_0.733333,1,235,fliA,358-592/732,.......======..,0/0,32.10,85.532,vfdb,YP_109887
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_156371_length_232_cov_1.254237,2,217,hsiC1/vipB,411-626/1497,....===........,0/0,14.43,80.093,vfdb,NP_248774
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_1573_length_7480_cov_3.236229,6883,7005,tsr,1087-1209/2022,........=......,0/0,6.08,78.862,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_158041_length_229_cov_1.747126,1,84,fhaB,1-84/10773,=..............,0/0,0.78,98.810,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_158046_length_229_cov_1.701149,1,229,bplI,71-299/705,.======........,0/0,32.48,100.000,vfdb,NP_878987
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_158426_length_229_cov_1.005747,3,229,flgF,62-291/762,.=====../......,3/9,29.40,79.828,vfdb,YP_106901
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_15881_length_1366_cov_1.216629,1,387,ptxD,73-459/459,..=============,0/0,84.31,96.382,vfdb,NP_882284
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_15881_length_1366_cov_1.216629,361,761,ptxE,2-402/402,===============,0/0,99.75,95.761,vfdb,NP_882285
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_15881_length_1366_cov_1.216629,844,1366,ptxC,1-523/684,============...,0/0,76.46,91.778,vfdb,NP_882286
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_159135_length_228_cov_0.797688,1,188,prn,2546-2733/2733,.............==,0/0,6.88,99.468,vfdb,NP_879839
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_160111_length_226_cov_1.163743,1,226,ptlF,575-800/822,..........=====,0/0,27.49,99.558,vfdb,NP_882293
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_160575_length_225_cov_1.452941,85,223,pvdL,12261-12399/13029,......../.....=,2/2,1.06,77.857,vfdb,NP_251114
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_160785_length_225_cov_1.082353,1,225,fss1,70-294/5964,=..............,0/0,3.77,99.556,vfdb,NP_813892
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_160800_length_225_cov_1.082353,2,225,motA,134-357/861,..=====........,0/0,26.02,86.607,vfdb,YP_109905
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_161044_length_224_cov_1.899408,1,224,cyaB,1264-1487/2139,........===....,0/0,10.47,99.554,vfdb,NP_879579
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_1612_length_7350_cov_3.704044,1362,1544,pvdM,1116-1298/1347,............===,0/0,13.59,75.410,vfdb,NP_251083
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_161621_length_223_cov_2.309524,1,111,pscR,502-612/654,...........====,0/0,16.97,87.387,vfdb,NP_250384
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_161827_length_223_cov_1.327381,162,223,brkA,1-62/3033,=..............,0/0,2.04,100.000,vfdb,NP_882013
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_163282_length_221_cov_1.084337,1,151,flgG,1-151/789,===............,0/0,19.14,92.053,vfdb,YP_106902
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_163864_length_220_cov_1.109091,1,220,bcrD,480-699/2100,...==..........,0/0,10.48,99.545,vfdb,NP_880904
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_164240_length_219_cov_1.567073,116,219,flgG,659-762/786,............===,0/0,13.23,83.654,vfdb,NP_249773
